name,ss_number,home_address,phone_number,email_address,role,team_id
Jonni,0320002345,Laufrimi 13,8889999,jonni@ru.is,player,18
Gunni,0303032345,Gustav 13,565657585,gunni@ru.is,captain,18
Patti,0000000002,Vik 12,54642453,patti@ru.is,captain,18
Stebbi,0912993456,Vikuvegur 98,8454675,stebbi@ru.is,player,18
gulla,9384758475,grenasbrau 12,0987678,lotta@gmail.com,player,18
johann,6546543234,sfdgfhfjh 12,9384757,dfghj,Player,18
lotta,3049890987,djsnfldkgfmhjk,7382555,dfghj,player,18
daniel,3342424242,sadfgjk,2678765,sadfgh,captain,18
dsfgh,3456787656,dasgfhfg,3454345,dsfdgfhg,player,18
daniel,0984758909,dsfghf,2837489,asdgfhgfj,player,18
blabla,0987678909,asdfgf,0273849,safdfgf,Captain,18
sadsf,0989099090,dsfg,7898675,sdfgh,Captain,18
